user_id,master_id,rating
LanceCo,84926,5
LanceCo,130617,5
LanceCo,457772,5
LanceCo,869015,5
LanceCo,383624,5
LanceCo,735931,5
LanceCo,1576423,5
LanceCo,1069103,5
LanceCo,1349184,5
LanceCo,1069108,5
LanceCo,668060,5
LanceCo,374185,5
LanceCo,3517602,5
LanceCo,435297,5
LanceCo,1429774,5
LanceCo,2089931,5
LanceCo,1345113,5
LanceCo,2567040,5
LanceCo,393265,5
LanceCo,1387717,5
LanceCo,741274,5
LanceCo,761842,5
LanceCo,525596,5
LanceCo,612490,5
LanceCo,223814,5
LanceCo,2831194,5
LanceCo,1748535,5
LanceCo,371455,5
LanceCo,1312908,5
LanceCo,1528730,5
LanceCo,665958,5
LanceCo,508399,5
LanceCo,1316123,5
LanceCo,79945,5
LanceCo,74260,5
LanceCo,2584434,5
LanceCo,1387718,5
LanceCo,1345046,5
LanceCo,1205847,5
LanceCo,2640018,5
LanceCo,1973318,5
LanceCo,368699,5
LanceCo,1589691,5
LanceCo,2319709,5
LanceCo,1148746,5
LanceCo,1315093,5
LanceCo,243919,5
LanceCo,566284,5
LanceCo,177619,5
LanceCo,434189,5
LanceCo,2073745,5
LanceCo,371355,5
LanceCo,381224,5
LanceCo,1161103,5
LanceCo,2492880,5
LanceCo,394418,5
LanceCo,5805203,5
LanceCo,400097,5
LanceCo,488250,5
LanceCo,415421,5
LanceCo,667822,5
LanceCo,649042,5
LanceCo,266652,5
LanceCo,1345171,5
LanceCo,852776,5
LanceCo,472533,5
LanceCo,612833,5
LanceCo,431341,5
LanceCo,153749,5
LanceCo,467646,4
LanceCo,718894,4
LanceCo,429382,4
LanceCo,968765,4
LanceCo,2722805,4
LanceCo,1349263,4
LanceCo,1349239,4
LanceCo,2065445,4
LanceCo,1710827,4
LanceCo,1135765,4
LanceCo,513093,4
LanceCo,530281,4
LanceCo,1787307,4
LanceCo,1429757,4
LanceCo,2586891,4
LanceCo,1589721,4
LanceCo,546328,4
LanceCo,2492884,4
LanceCo,1671364,4
LanceCo,1349165,4
LanceCo,780847,4
LanceCo,1387711,4
LanceCo,1387806,4
LanceCo,1345119,4
LanceCo,2423352,4
LanceCo,2407876,4
LanceCo,1795381,4
LanceCo,539435,4
LanceCo,2901019,4
LanceCo,1387709,4
LanceCo,373549,4
LanceCo,84926,5
LanceCo,130617,5
LanceCo,457772,5
LanceCo,869015,5
LanceCo,383624,5
LanceCo,735931,5
LanceCo,1576423,5
LanceCo,1069103,5
LanceCo,1349184,5
LanceCo,1069108,5
LanceCo,668060,5
LanceCo,374185,5
LanceCo,3517602,5
LanceCo,435297,5
LanceCo,1429774,5
